com.model.d3.D3Graph@fcc5b1Atype	Agroup	Aid	Aname	Btype	Bgroup	Bid	Bname
mp	MP:0005387	MP:0009080	uterus inflammation	mp	MP:0005387	MP:0009360	endometrium inflammation
mp	MP:0005387	MP:0001853	heart inflammation	mp	MP:0005387	MP:0001857	pericarditis
mp	MP:0005387	MP:0002462	abnormal granulocyte physiology	mp	MP:0005387	MP:0002464	abnormal basophil physiology
mp	MP:0005387	MP:0012441	abnormal monocyte cell number	mp	MP:0005387	MP:0013024	abnormal Ly6C low monocyte number
mp	MP:0005387	MP:0002462	abnormal granulocyte physiology	mp	MP:0005387	MP:0002465	abnormal eosinophil physiology
mp	MP:0005387	MP:0001846	increased inflammatory response	mp	MP:0005387	MP:0003777	lip inflammation
gene	IMMUNE DISEASES	FOXP3	null	mp	MP:0005387	MP:0000706	small thymus
gene	IMMUNE DISEASES	ITGB2	null	mp	MP:0005387	MP:0000691	enlarged spleen
gene	IMMUNE DISEASES	AIRE	null	mp	MP:0005387	MP:0001313	increased incidence of corneal inflammation
pathway	HUMAN DISEASES	mmu05330	ALLOGRAFT REJECTION	gene	IMMUNE DISEASES	PRF1	null
gene	IMMUNE DISEASES	PTPRC	null	mp	MP:0005387	MP:0001828	abnormal T cell activation
gene	IMMUNE DISEASES	JAK3	null	mp	MP:0005387	MP:0013588	small thymus medulla
gene	IMMUNE DISEASES	FOXP3	null	mp	MP:0005387	MP:0000703	abnormal thymus morphology
mp	MP:0005387	MP:0002221	abnormal lymph organ size	mp	MP:0005387	MP:0000701	abnormal lymph node size
gene	IMMUNE DISEASES	FOXP3	null	mp	MP:0005387	MP:0000702	enlarged lymph nodes
mp	MP:0005387	MP:0002446	abnormal macrophage morphology	mp	MP:0005387	MP:0003884	decreased macrophage cell number
mp	MP:0005387	MP:0008643	abnormal circulating interleukin-12a level	mp	MP:0005387	MP:0008645	decreased circulating interleukin-12a level
mp	MP:0005387	MP:0008213	absent immature B cells	mp	MP:0005387	MP:0008216	absent transitional stage B cells
mp	MP:0005387	MP:0008643	abnormal circulating interleukin-12a level	mp	MP:0005387	MP:0008644	increased circulating interleukin-12a level
ppi	ppi	17060	17060	ppi	ppi	12229	12229
gene	IMMUNE DISEASES	TLR4	null	mp	MP:0005387	MP:0005466	abnormal T-helper 2 physiology
mp	MP:0005387	MP:0000702	enlarged lymph nodes	mp	MP:0005387	MP:0008102	lymph node hyperplasia
gene	IMMUNE DISEASES	ITGB2	null	mp	MP:0005387	MP:0002412	increased susceptibility to bacterial infection
gene	IMMUNE DISEASES	BTK	null	mp	MP:0005387	MP:0001800	abnormal humoral immune response
gene	IMMUNE DISEASES	HIST1H3H	null	ppi	ppi	319152	319152
gene	IMMUNE DISEASES	CSF1	null	ppi	ppi	12977	12977
mp	MP:0005387	MP:0012441	abnormal monocyte cell number	mp	MP:0005387	MP:0013021	abnormal Ly6C high monocyte number
gene	IMMUNE DISEASES	AIRE	null	mp	MP:0005387	MP:0013367	parotid gland inflammation
mp	MP:0005387	MP:0006387	abnormal T cell number	mp	MP:0005387	MP:0008895	abnormal intraepithelial T cell number
mp	MP:0005387	MP:0001846	increased inflammatory response	mp	MP:0005387	MP:0003767	palate inflammation
gene	IMMUNE DISEASES	BTK	null	mp	MP:0005387	MP:0001806	decreased IgM level
gene	IMMUNE DISEASES	CIITA	null	mp	MP:0005387	MP:0002444	abnormal T cell physiology
gene	IMMUNE DISEASES	UNG	null	ppi	ppi	22256	22256
mp	MP:0005387	MP:0006082	CNS inflammation	mp	MP:0005387	MP:0001847	brain inflammation
pathway	HUMAN DISEASES	mmu05340	PRIMARY IMMUNODEFICIENCY	gene	IMMUNE DISEASES	JAK3	null
pathway	HUMAN DISEASES	mmu05320	AUTOIMMUNE THYROID DISEASE	gene	IMMUNE DISEASES	CGA	null
gene	IMMUNE DISEASES	CIITA	null	mp	MP:0005387	MP:0003009	abnormal cytokine secretion
mp	MP:0005387	MP:0002254	reproductive system inflammation	mp	MP:0005387	MP:0003596	epididymal inflammation
gene	IMMUNE DISEASES	PRF1	null	mp	MP:0005387	MP:0005079	decreased cytotoxic T cell cytolysis
gene	IMMUNE DISEASES	PRF1	null	mp	MP:0005387	MP:0005078	abnormal cytotoxic T cell physiology
pathway	HUMAN DISEASES	mmu05332	GRAFT-VERSUS-HOST DISEASE	gene	IMMUNE DISEASES	GZMB	null
ppi	ppi	20371	20371	ppi	ppi	20848	20848
gene	IMMUNE DISEASES	CCL2	null	mp	MP:0005387	MP:0003884	decreased macrophage cell number
pathway	HUMAN DISEASES	mmu05310	ASTHMA	gene	IMMUNE DISEASES	H2-AB1	null
gene	IMMUNE DISEASES	PRF1	null	mp	MP:0005387	MP:0008553	increased circulating tumor necrosis factor level
ppi	ppi	12265	12265	ppi	ppi	19727	19727
mp	MP:0005387	MP:0002451	abnormal macrophage physiology	mp	MP:0005387	MP:0011985	abnormal macrophage proliferation
gene	IMMUNE DISEASES	PRF1	null	mp	MP:0005387	MP:0008573	increased circulating interferon-alpha level
gene	IMMUNE DISEASES	CIITA	null	mp	MP:0005387	MP:0001793	altered susceptibility to infection
ppi	ppi	16476	16476	ppi	ppi	16476	16476
mp	MP:0005387	MP:0010213	abnormal circulating fibrinogen level	mp	MP:0005387	MP:0012331	increased circulating fibrinogen level
mp	MP:0005387	MP:0010213	abnormal circulating fibrinogen level	mp	MP:0005387	MP:0012330	decreased circulating fibrinogen level
mp	MP:0005387	MP:0002357	abnormal spleen white pulp morphology	mp	MP:0005387	MP:0002358	abnormal spleen periarteriolar lymphoid sheath morphology
mp	MP:0005387	MP:0012762	abnormal alpha-beta T cell morphology	mp	MP:0005387	MP:0008397	abnormal CD4-positive, CD25-positive, alpha-beta regulatory T cell morphology
gene	IMMUNE DISEASES	ATP6V0E	null	ppi	ppi	11974	11974
mp	MP:0005387	MP:0012762	abnormal alpha-beta T cell morphology	mp	MP:0005387	MP:0008398	abnormal CD8-positive, alpha-beta regulatory T cell morphology
mp	MP:0005387	MP:0008119	decreased Langerhans cell number	mp	MP:0005387	MP:0008118	absent Langerhans cell
gene	IMMUNE DISEASES	DCLRE1C	null	mp	MP:0005387	MP:0005017	decreased B cell number
gene	IMMUNE DISEASES	RAG2	null	mp	MP:0005387	MP:0008212	absent mature B cells
gene	IMMUNE DISEASES	TSHR	null	ppi	ppi	22095	22095
gene	IMMUNE DISEASES	DCLRE1C	null	mp	MP:0005387	MP:0005016	decreased lymphocyte cell number
gene	IMMUNE DISEASES	CSF2	null	mp	MP:0005387	MP:0004800	decreased susceptibility to experimental autoimmune encephalomyelitis
gene	IMMUNE DISEASES	IL4RA	null	mp	MP:0005387	MP:0005095	decreased T cell proliferation
mp	MP:0005387	MP:0008588	abnormal circulating interleukin level	mp	MP:0005387	MP:0011713	abnormal circulating interleukin-8 level
gene	IMMUNE DISEASES	H2-M3	null	ppi	ppi	14991	14991
mp	MP:0005387	MP:0013511	increased CD4-negative NK T cell number	mp	MP:0005387	MP:0013517	increased KLRG1-positive CD4-negative NK T cell number
mp	MP:0005387	MP:0001846	increased inflammatory response	mp	MP:0005387	MP:0003746	stomatitis
gene	IMMUNE DISEASES	PRF1	null	mp	MP:0005387	MP:0008567	decreased interferon-gamma secretion
mp	MP:0005387	MP:0013511	increased CD4-negative NK T cell number	mp	MP:0005387	MP:0013514	increased memory-marker CD4-negative NK T cell number
gene	IMMUNE DISEASES	IFNG	null	ppi	ppi	15978	15978
mp	MP:0005387	MP:0008211	decreased mature B cell number	mp	MP:0005387	MP:0008212	absent mature B cells
pathway	HUMAN DISEASES	mmu05310	ASTHMA	gene	IMMUNE DISEASES	H2-OB	null
pathway	HUMAN DISEASES	mmu05340	PRIMARY IMMUNODEFICIENCY	gene	IMMUNE DISEASES	CD79A	null
pathway	HUMAN DISEASES	mmu05310	ASTHMA	gene	IMMUNE DISEASES	H2-OA	null
mp	MP:0005387	MP:0008683	abnormal interleukin-18 secretion	mp	MP:0005387	MP:0008685	decreased interleukin-18 secretion
mp	MP:0005387	MP:0008683	abnormal interleukin-18 secretion	mp	MP:0005387	MP:0008684	increased interleukin-18 secretion
pathway	HUMAN DISEASES	mmu05323	RHEUMATOID ARTHRITIS	gene	IMMUNE DISEASES	CD28	null
mp	MP:0005387	MP:0002343	abnormal lymph node cortex morphology	mp	MP:0005387	MP:0002347	abnormal lymph node T cell domain morphology
pathway	HUMAN DISEASES	mmu05323	RHEUMATOID ARTHRITIS	gene	IMMUNE DISEASES	IFNG	null
mp	MP:0005387	MP:0002343	abnormal lymph node cortex morphology	mp	MP:0005387	MP:0002344	abnormal lymph node B cell domain morphology
pathway	HUMAN DISEASES	mmu05330	ALLOGRAFT REJECTION	gene	IMMUNE DISEASES	GZMB	null
gene	IMMUNE DISEASES	DCLRE1C	null	mp	MP:0005387	MP:0000692	small spleen
gene	IMMUNE DISEASES	JAK3	null	mp	MP:0005387	MP:0009540	absent Hassall's corpuscle
ppi	ppi	16476	16476	ppi	ppi	19697	19697
gene	IMMUNE DISEASES	JAK3	null	mp	MP:0005387	MP:0009543	abnormal thymus corticomedullary boundary morphology
gene	IMMUNE DISEASES	HIST1H2BP	null	ppi	ppi	319188	319188
gene	IMMUNE DISEASES	PRF1	null	mp	MP:0005387	MP:0008577	increased circulating interferon-gamma level
gene	IMMUNE DISEASES	DCLRE1C	null	mp	MP:0005387	MP:0000694	spleen hypoplasia
gene	IMMUNE DISEASES	HIST1H2BN	null	ppi	ppi	319187	319187
gene	IMMUNE DISEASES	IL4RA	null	mp	MP:0005387	MP:0005466	abnormal T-helper 2 physiology
mp	MP:0005387	MP:0011566	abnormal complement protein level	mp	MP:0005387	MP:0010215	abnormal circulating complement protein level
gene	IMMUNE DISEASES	FAS	null	mp	MP:0005387	MP:0004939	abnormal B cell morphology
gene	IMMUNE DISEASES	BTK	null	ppi	ppi	12229	12229
mp	MP:0005387	MP:0000217	abnormal leukocyte cell number	mp	MP:0005387	MP:0000717	abnormal lymphocyte cell number
mp	MP:0005387	MP:0002462	abnormal granulocyte physiology	mp	MP:0005387	MP:0002423	abnormal mast cell physiology
gene	IMMUNE DISEASES	ICOS	null	mp	MP:0005387	MP:0004799	increased susceptibility to experimental autoimmune encephalomyelitis
mp	MP:0005387	MP:0008134	abnormal Peyer's patch size	mp	MP:0005387	MP:0008136	enlarged Peyer's patches
mp	MP:0005387	MP:0002440	abnormal memory B cell morphology	mp	MP:0005387	MP:0008095	abnormal memory B cell differentiation
mp	MP:0005387	MP:0002217	small lymph nodes	mp	MP:0005387	MP:0008101	lymph node hypoplasia
mp	MP:0005387	MP:0011072	abnormal macrophage cytokine production	mp	MP:0005387	MP:0011079	decreased macrophage cytokine production
mp	MP:0005387	MP:0002446	abnormal macrophage morphology	mp	MP:0005387	MP:0004982	abnormal osteoclast morphology
mp	MP:0005387	MP:0011072	abnormal macrophage cytokine production	mp	MP:0005387	MP:0011078	increased macrophage cytokine production
mp	MP:0005387	MP:0003763	abnormal thymus physiology	mp	MP:0005387	MP:0001824	abnormal thymus involution
mp	MP:0005387	MP:0002440	abnormal memory B cell morphology	mp	MP:0005387	MP:0008093	abnormal memory B cell number
gene	IMMUNE DISEASES	1700012L04RIK	null	ppi	ppi	76383	76383
gene	IMMUNE DISEASES	IFNG	null	mp	MP:0005387	MP:0002534	abnormal type IV hypersensitivity reaction
mp	MP:0005387	MP:0000706	small thymus	mp	MP:0005387	MP:0003644	thymus atrophy
mp	MP:0005387	MP:0008134	abnormal Peyer's patch size	mp	MP:0005387	MP:0008135	small Peyer's patches
mp	MP:0005387	MP:0002346	abnormal lymph node secondary follicle morphology	mp	MP:0005387	MP:0010774	abnormal lymph node follicular mantle morphology
mp	MP:0005387	MP:0008176	abnormal germinal center B cell morphology	mp	MP:0005387	MP:0008178	decreased germinal center B cell number
gene	IMMUNE DISEASES	ATP6AP1	null	ppi	ppi	54411	54411
gene	IMMUNE DISEASES	NFATC1	null	ppi	ppi	18018	18018
mp	MP:0005387	MP:0002451	abnormal macrophage physiology	mp	MP:0005387	MP:0001541	abnormal osteoclast physiology
mp	MP:0005387	MP:0008176	abnormal germinal center B cell morphology	mp	MP:0005387	MP:0008177	increased germinal center B cell number
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	HIST2H4	null
mp	MP:0005387	MP:0001859	kidney inflammation	mp	MP:0005387	MP:0011404	pyelitis
mp	MP:0005387	MP:0001859	kidney inflammation	mp	MP:0005387	MP:0011403	pyelonephritis
mp	MP:0005387	MP:0008616	abnormal circulating interleukin-12 level	mp	MP:0005387	MP:0008643	abnormal circulating interleukin-12a level
gene	IMMUNE DISEASES	IFNG	null	mp	MP:0005387	MP:0009336	increased splenocyte proliferation
mp	MP:0005387	MP:0002220	large lymphoid organs	mp	MP:0005387	MP:0000688	lymphoid hyperplasia
mp	MP:0005387	MP:0001859	kidney inflammation	mp	MP:0005387	MP:0011405	tubulointerstitial nephritis
gene	IMMUNE DISEASES	IL10	null	mp	MP:0005387	MP:0004955	increased thymus weight
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	HIST1H4N	null
gene	IMMUNE DISEASES	IFNGR1	null	ppi	ppi	15979	15979
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	HIST1H4K	null
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	HIST1H4J	null
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	HIST1H4M	null
mp	MP:0005387	MP:0008751	abnormal interleukin level	mp	MP:0005387	MP:0008588	abnormal circulating interleukin level
mp	MP:0005387	MP:0008213	absent immature B cells	mp	MP:0005387	MP:0000238	absent pre-B cells
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	HIST1H4F	null
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	HIST1H4I	null
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	IL10	null
mp	MP:0005387	MP:0008250	abnormal myeloid leukocyte morphology	mp	MP:0005387	MP:0002441	abnormal granulocyte morphology
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	HIST1H4H	null
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	HIST1H4C	null
gene	IMMUNE DISEASES	IL10	null	mp	MP:0005387	MP:0005617	increased susceptibility to type IV hypersensitivity reaction
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	HIST1H4B	null
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	HIST1H4D	null
pathway	HUMAN DISEASES	mmu05340	PRIMARY IMMUNODEFICIENCY	gene	IMMUNE DISEASES	RFX5	null
gene	IMMUNE DISEASES	TGFB1	null	mp	MP:0005387	MP:0008133	decreased Peyer's patch number
gene	IMMUNE DISEASES	H2-M10.6	null	ppi	ppi	399549	399549
ppi	ppi	11984	11984	ppi	ppi	66290	66290
mp	MP:0005387	MP:0002460	decreased immunoglobulin level	mp	MP:0005387	MP:0001806	decreased IgM level
gene	IMMUNE DISEASES	IL10	null	mp	MP:0005387	MP:0004946	abnormal regulatory T cell physiology
mp	MP:0005387	MP:0002460	decreased immunoglobulin level	mp	MP:0005387	MP:0001805	decreased IgG level
mp	MP:0005387	MP:0002418	increased susceptibility to viral infection	mp	MP:0005387	MP:0020163	increased susceptibility to virus induced diabetes
gene	IMMUNE DISEASES	TNFRSF13B	null	mp	MP:0005387	MP:0000691	enlarged spleen
gene	IMMUNE DISEASES	IL18R1	null	ppi	ppi	16182	16182
mp	MP:0005387	MP:0002460	decreased immunoglobulin level	mp	MP:0005387	MP:0001807	decreased IgA level
mp	MP:0005387	MP:0002722	abnormal immune system organ morphology	mp	MP:0005387	MP:0000689	abnormal spleen morphology
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	HIST2H2AA1	null
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	HIST2H2AA2	null
gene	IMMUNE DISEASES	ZAP70	null	mp	MP:0005387	MP:0005002	abnormal T cell clonal deletion
gene	IMMUNE DISEASES	TNFRSF13B	null	mp	MP:0005387	MP:0000689	abnormal spleen morphology
ppi	ppi	11975	11975	ppi	ppi	66237	66237
pathway	HUMAN DISEASES	mmu05323	RHEUMATOID ARTHRITIS	gene	IMMUNE DISEASES	CD80	null
gene	IMMUNE DISEASES	RAG2	null	mp	MP:0005387	MP:0000703	abnormal thymus morphology
mp	MP:0005387	MP:0006387	abnormal T cell number	mp	MP:0005387	MP:0012763	abnormal alpha-beta T cell number
gene	IMMUNE DISEASES	CSF2	null	mp	MP:0005387	MP:0003799	impaired macrophage chemotaxis
gene	IMMUNE DISEASES	HIST1H2AE	null	ppi	ppi	319166	319166
pathway	HUMAN DISEASES	mmu05323	RHEUMATOID ARTHRITIS	gene	IMMUNE DISEASES	CD86	null
gene	IMMUNE DISEASES	IL13	null	ppi	ppi	16163	16163
gene	IMMUNE DISEASES	ZAP70	null	mp	MP:0005387	MP:0003561	rheumatoid arthritis
mp	MP:0005387	MP:0020191	abnormal lymphocyte activation involved in immune response	mp	MP:0005387	MP:0020192	decreased lymphocyte activation involved in immune response
mp	MP:0005387	MP:0010183	abnormal CD4-positive helper T cell morphology	mp	MP:0005387	MP:0002434	abnormal T-helper 2 cell morphology
mp	MP:0005387	MP:0020191	abnormal lymphocyte activation involved in immune response	mp	MP:0005387	MP:0020193	increased lymphocyte activation involved in immune response
mp	MP:0005387	MP:0010183	abnormal CD4-positive helper T cell morphology	mp	MP:0005387	MP:0002433	abnormal T-helper 1 cell morphology
pathway	HUMAN DISEASES	mmu05321	INFLAMMATORY BOWEL DISEASE (IBD)	gene	IMMUNE DISEASES	H2-AA	null
mp	MP:0005387	MP:0000359	abnormal mast cell morphology	mp	MP:0005387	MP:0008020	abnormal dermal mast cell morphology
pathway	HUMAN DISEASES	mmu05323	RHEUMATOID ARTHRITIS	gene	IMMUNE DISEASES	IL17A	null
gene	IMMUNE DISEASES	HIST1H2BB	null	ppi	ppi	319178	319178
mp	MP:0005387	MP:0001790	abnormal immune system physiology	mp	MP:0005387	MP:0010368	abnormal lymphatic system physiology
gene	IMMUNE DISEASES	ZAP70	null	mp	MP:0005387	MP:0005014	increased B cell number
gene	IMMUNE DISEASES	IL21	null	ppi	ppi	60505	60505
gene	IMMUNE DISEASES	RAG2	null	mp	MP:0005387	MP:0000716	abnormal immune system cell morphology
mp	MP:0005387	MP:0002722	abnormal immune system organ morphology	mp	MP:0005387	MP:0002221	abnormal lymph organ size
mp	MP:0005387	MP:0001869	pancreas inflammation	mp	MP:0005387	MP:0004031	insulitis
mp	MP:0005387	MP:0008077	abnormal CD8-positive, alpha-beta T cell number	mp	MP:0005387	MP:0012774	abnormal CD8-positive, alpha-beta memory T cell number
mp	MP:0005387	MP:0002254	reproductive system inflammation	mp	MP:0005387	MP:0009228	uterine cervix inflammation
gene	IMMUNE DISEASES	TNFRSF13B	null	mp	MP:0005387	MP:0005014	increased B cell number
mp	MP:0005387	MP:0008076	abnormal CD4-positive T cell differentiation	mp	MP:0005387	MP:0010188	abnormal T follicular helper cell differentiation
mp	MP:0005387	MP:0008215	decreased immature B cell number	mp	MP:0005387	MP:0008213	absent immature B cells
gene	IMMUNE DISEASES	RORC	null	ppi	ppi	19885	19885
mp	MP:0005387	MP:0002145	abnormal T cell differentiation	mp	MP:0005387	MP:0010221	abnormal T-helper 17 cell differentiation
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	TROVE2	null
gene	IMMUNE DISEASES	H2-EA-PS	null	ppi	ppi	100504404	100504404
mp	MP:0005387	MP:0008048	abnormal memory T cell number	mp	MP:0005387	MP:0012772	abnormal central memory CD8-positive, alpha-beta T cell number
mp	MP:0005387	MP:0001851	eye inflammation	mp	MP:0005387	MP:0001852	conjunctivitis
mp	MP:0005387	MP:0008588	abnormal circulating interleukin level	mp	MP:0005387	MP:0008616	abnormal circulating interleukin-12 level
gene	IMMUNE DISEASES	RELA	null	ppi	ppi	19697	19697
gene	IMMUNE DISEASES	FAS	null	mp	MP:0005387	MP:0000218	increased leukocyte cell number
pathway	HUMAN DISEASES	mmu05332	GRAFT-VERSUS-HOST DISEASE	gene	IMMUNE DISEASES	H2-BL	null
mp	MP:0005387	MP:0008588	abnormal circulating interleukin level	mp	MP:0005387	MP:0008619	abnormal circulating interleukin-23 level
gene	IMMUNE DISEASES	FAS	null	mp	MP:0005387	MP:0000219	increased neutrophil cell number
gene	IMMUNE DISEASES	FASL	null	mp	MP:0005387	MP:0002461	increased immunoglobulin level
gene	IMMUNE DISEASES	IL10	null	mp	MP:0005387	MP:0008721	abnormal chemokine level
mp	MP:0005387	MP:0001851	eye inflammation	mp	MP:0005387	MP:0001848	choroid inflammation
mp	MP:0005387	MP:0003009	abnormal cytokine secretion	mp	MP:0005387	MP:0008556	abnormal tumor necrosis factor secretion
mp	MP:0005387	MP:0003009	abnormal cytokine secretion	mp	MP:0005387	MP:0008555	abnormal interferon secretion
mp	MP:0005387	MP:0008588	abnormal circulating interleukin level	mp	MP:0005387	MP:0008613	abnormal circulating interleukin-17 level
mp	MP:0005387	MP:0008588	abnormal circulating interleukin level	mp	MP:0005387	MP:0008610	abnormal circulating interleukin-15 level
mp	MP:0005387	MP:0002619	abnormal lymphocyte morphology	mp	MP:0005387	MP:0005068	abnormal NK cell morphology
mp	MP:0005387	MP:0002254	reproductive system inflammation	mp	MP:0005387	MP:0011802	seminal vesiculitis
mp	MP:0005387	MP:0008548	abnormal circulating interferon level	mp	MP:0005387	MP:0008551	abnormal circulating interferon-gamma level
gene	IMMUNE DISEASES	ICAM1	null	mp	MP:0005387	MP:0010751	decreased susceptibility to parasitic infection induced morbidity/mortality
mp	MP:0005387	MP:0008210	increased mature B cell number	mp	MP:0005387	MP:0004977	increased B-1 B cell number
gene	IMMUNE DISEASES	TNF	null	mp	MP:0005387	MP:0008399	abnormal alpha-beta intraepithelial T cell morphology
mp	MP:0005387	MP:0009926	decreased transitional stage T2 B cell number	mp	MP:0005387	MP:0009927	absent transitional stage T2 B cells
mp	MP:0005387	MP:0008548	abnormal circulating interferon level	mp	MP:0005387	MP:0008550	abnormal circulating interferon-beta level
pathway	HUMAN DISEASES	mmu05320	AUTOIMMUNE THYROID DISEASE	gene	IMMUNE DISEASES	H2-Q10	null
mp	MP:0005387	MP:0005432	abnormal pro-B cell morphology	mp	MP:0005387	MP:0008233	abnormal pro-B cell differentiation
gene	IMMUNE DISEASES	ICOS	null	mp	MP:0005387	MP:0001805	decreased IgG level
mp	MP:0005387	MP:0008656	abnormal interleukin-1 beta secretion	mp	MP:0005387	MP:0008657	increased interleukin-1 beta secretion
pathway	HUMAN DISEASES	mmu05332	GRAFT-VERSUS-HOST DISEASE	gene	IMMUNE DISEASES	H2-D1	null
mp	MP:0005387	MP:0008656	abnormal interleukin-1 beta secretion	mp	MP:0005387	MP:0008658	decreased interleukin-1 beta secretion
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	HIST1H3I	null
mp	MP:0005387	MP:0008347	decreased gamma-delta T cell number	mp	MP:0005387	MP:0013423	decreased KLRG1-positive gamma-delta T cell number
mp	MP:0005387	MP:0008347	decreased gamma-delta T cell number	mp	MP:0005387	MP:0013420	decreased CD5-positive gamma-delta T cell number
mp	MP:0005387	MP:0008588	abnormal circulating interleukin level	mp	MP:0005387	MP:0008625	abnormal circulating interleukin-5 level
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	HIST1H3E	null
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	HIST1H3F	null
gene	IMMUNE DISEASES	H2-D1	null	ppi	ppi	14964	14964
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	HIST1H3G	null
mp	MP:0005387	MP:0008588	abnormal circulating interleukin level	mp	MP:0005387	MP:0008628	abnormal circulating interleukin-9 level
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	HIST1H3H	null
mp	MP:0005387	MP:0002401	abnormal lymphopoiesis	mp	MP:0005387	MP:0002144	abnormal B cell differentiation
gene	IMMUNE DISEASES	DCLRE1C	null	mp	MP:0005387	MP:0002217	small lymph nodes
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	HIST1H3A	null
mp	MP:0005387	MP:0002401	abnormal lymphopoiesis	mp	MP:0005387	MP:0002145	abnormal T cell differentiation
gene	IMMUNE DISEASES	ITGB2	null	mp	MP:0005387	MP:0002356	abnormal spleen red pulp morphology
pathway	HUMAN DISEASES	mmu05321	INFLAMMATORY BOWEL DISEASE (IBD)	gene	IMMUNE DISEASES	H2-OB	null
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	HIST1H3B	null
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	HIST1H3C	null
pathway	HUMAN DISEASES	mmu05321	INFLAMMATORY BOWEL DISEASE (IBD)	gene	IMMUNE DISEASES	H2-OA	null
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	HIST1H3D	null
gene	IMMUNE DISEASES	IL6	null	ppi	ppi	16193	16193
pathway	HUMAN DISEASES	mmu05323	RHEUMATOID ARTHRITIS	gene	IMMUNE DISEASES	H2-EA-PS	null
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	HIST1H4A	null
mp	MP:0005387	MP:0008588	abnormal circulating interleukin level	mp	MP:0005387	MP:0008622	abnormal circulating interleukin-3 level
gene	IMMUNE DISEASES	TGFB1	null	mp	MP:0005387	MP:0008880	lacrimal gland inflammation
mp	MP:0005387	MP:0008246	abnormal leukocyte morphology	mp	MP:0005387	MP:0008250	abnormal myeloid leukocyte morphology
gene	IMMUNE DISEASES	FAS	null	mp	MP:0005387	MP:0004952	increased spleen weight
gene	IMMUNE DISEASES	CIITA	null	mp	MP:0005387	MP:0002376	abnormal dendritic cell physiology
mp	MP:0005387	MP:0008522	abnormal lymph node germinal center morphology	mp	MP:0005387	MP:0008523	absent lymph node germinal center
gene	IMMUNE DISEASES	FAS	null	mp	MP:0005387	MP:0004955	increased thymus weight
gene	IMMUNE DISEASES	C4B	null	mp	MP:0005387	MP:0004771	increased anti-single stranded DNA antibody level
mp	MP:0005387	MP:0001864	vasculitis	mp	MP:0005387	MP:0010138	arteritis
gene	IMMUNE DISEASES	DCLRE1C	null	mp	MP:0005387	MP:0008209	decreased pre-B cell number
ppi	ppi	51788	51788	ppi	ppi	51788	51788
